geometry,code
POINT (0.0007682696446463 0.0002482146744432),BaylorSCH0SE-WasinkhyahTMP0SE-52
POINT (0.0007682770222047 0.0002482068598501),BaylorSCH0SE-WasinkhyahTMP0SE-53
POINT (0.0007682579349061 0.0002482201458121),BaylorSCH0SE-WasinkhyahTMP0SE-54
POINT (0.0007682640916951 0.000248218603565),BaylorSCH0SE-WasinkhyahTMP0SE-55
POINT (0.0007682591481975 0.0002482177410983),BaylorSCH0SE-WasinkhyahTMP0SE-56
POINT (0.0007682599309185 0.0002482142167826),BaylorSCH0SE-WasinkhyahTMP0SE-57
POINT (0.0007682588031707 0.0002482163884331),BaylorSCH0SE-WasinkhyahTMP0SE-58
POINT (0.0007682741305644 0.0002482104467404),BaylorSCH0SE-WasinkhyahTMP0SE-59
POINT (0.0007682773012904 0.0002482143504827),BaylorSCH0SE-WasinkhyahTMP0SE-60
POINT (0.0007682567133978 0.0002482188894904),BaylorSCH0SE-WasinkhyahTMP0SE-61
POINT (0.0007682591394115 0.0002482205047155),BaylorSCH0SE-WasinkhyahTMP0SE-62
POINT (0.0007682537376439 0.0002482137607519),BaylorSCH0S-WasinkhyahTMP0S-5
POINT (0.00076826042989 0.0002482153568432),BaylorSCH0SE-WasinkhyahTMP0SE-63
POINT (0.0007682537038112 0.0002482187300615),BaylorSCH0S-WasinkhyahTMP0S-6
POINT (0.0007682710528996 0.000248209164478),BaylorSCH0SE-WasinkhyahTMP0SE-64
POINT (0.0007682574098444 0.0002482131092716),BaylorSCH0SE-WasinkhyahTMP0SE-65
POINT (0.000768265030594 0.0002482163631275),BaylorSCH0SE-WasinkhyahTMP0SE-66
POINT (0.0007682765573012 0.0002482132610114),BaylorSCH0SE-WasinkhyahTMP0SE-67
POINT (0.0007682611102732 0.000248219122374),BaylorSCH0SE-WasinkhyahTMP0SE-68
POINT (0.0007682587363244 0.0002482191913081),BaylorSCH0SE-WasinkhyahTMP0SE-69
POINT (0.0007682713162558 0.0002482206247262),BaylorSCH0SE-WasinkhyahTMP0SE-70
POINT (0.0007682681104617 0.0002482176075048),BaylorSCH0SE-WasinkhyahTMP0SE-71
POINT (0.0007682762118852 0.0002482105098414),BaylorSCH0SE-WasinkhyahTMP0SE-72
POINT (0.0007682667483822 0.0002482176823421),BaylorSCH0SE-WasinkhyahTMP0SE-73
POINT (0.000768261968626 0.0002482190059722),BaylorSCH0SE-WasinkhyahTMP0SE-74
POINT (0.0007682760330822 0.0002482111410694),BaylorSCH0SE-WasinkhyahTMP0SE-75
POINT (0.0007682693062036 0.0002482155972887),BaylorSCH0SE-WasinkhyahTMP0SE-76
POINT (0.0007682741066522 0.0002482111164688),BaylorSCH0SE-WasinkhyahTMP0SE-77
POINT (0.0007682603546759 0.0002482203273379),BaylorSCH0SE-WasinkhyahTMP0SE-78
POINT (0.0007682552231514 0.0002482134462102),BaylorSCH0S-WasinkhyahTMP0S-7
POINT (0.0007682631376344 0.0002482187802841),BaylorSCH0SE-WasinkhyahTMP0SE-79
POINT (0.0007682612729844 0.0002482172551771),BaylorSCH0SE-WasinkhyahTMP0SE-80
POINT (0.0007682729006953 0.0002482166354952),BaylorSCH0SE-WasinkhyahTMP0SE-81
POINT (0.0007682728110242 0.000248208029428),BaylorSCH0SE-WasinkhyahTMP0SE-82
POINT (0.0007682718440079 0.0002482066026143),BaylorSCH0SE-WasinkhyahTMP0SE-83
POINT (0.0007682626314748 0.0002482188841605),BaylorSCH0SE-WasinkhyahTMP0SE-84
POINT (0.0007682541460402 0.0002482184722941),BaylorSCH0SE-WasinkhyahTMP0SE-85
POINT (0.0007682695051024 0.000248218581068),BaylorSCH0SE-WasinkhyahTMP0SE-86
POINT (0.0007682713888406 0.0002482139364851),BaylorSCH0SE-WasinkhyahTMP0SE-87
POINT (0.0007682713672186 0.0002482155833229),BaylorSCH0SE-WasinkhyahTMP0SE-88
POINT (0.0007682740618516 0.0002482121045758),BaylorSCH0SE-WasinkhyahTMP0SE-89
POINT (0.0007682766474684 0.0002482113447191),BaylorSCH0SE-WasinkhyahTMP0SE-90
POINT (0.0007682743949765 0.0002482089496094),BaylorSCH0SE-WasinkhyahTMP0SE-91
POINT (0.0007682753600626 0.0002482138116847),BaylorSCH0SE-WasinkhyahTMP0SE-92
POINT (0.0007682599881262 0.0002482177425549),BaylorSCH0SE-WasinkhyahTMP0SE-93
POINT (0.0007682739006742 0.0002482127593659),BaylorSCH0SE-WasinkhyahTMP0SE-94
POINT (0.0007682706264948 0.0002482103923073),BaylorSCH0SE-WasinkhyahTMP0SE-95
POINT (0.0007682608058601 0.0002482177741524),BaylorSCH0SE-WasinkhyahTMP0SE-96
POINT (0.0007682760280404 0.0002482118608276),BaylorSCH0SE-WasinkhyahTMP0SE-97
POINT (0.0007682694953059 0.0002482087762511),BaylorSCH0SE-WasinkhyahTMP0SE-98
POINT (0.0007682757514072 0.000248211508249),BaylorSCH0SE-WasinkhyahTMP0SE-99
POINT (0.00076827426797 0.0002482073112536),BaylorSCH0SE-WasinkhyahTMP0SE-100
POINT (0.0007682761957132 0.0002482148755984),BaylorSCH0SE-WasinkhyahTMP0SE-101
POINT (0.0007682702640003 0.0002482138135984),BaylorSCH0SE-WasinkhyahTMP0SE-102
POINT (0.0007682755103864 0.0002482129645817),BaylorSCH0SE-WasinkhyahTMP0SE-103
POINT (0.0007682725842284 0.0002482135403133),BaylorSCH0SE-WasinkhyahTMP0SE-104
POINT (0.0007682625423951 0.000248219773709),BaylorSCH0SE-WasinkhyahTMP0SE-105
POINT (0.0007682695497452 0.0002482098789308),BaylorSCH0SE-WasinkhyahTMP0SE-106
POINT (0.0007682533466562 0.0002482206292268),BaylorSCH0SE-WasinkhyahTMP0SE-107
POINT (0.0007682617297383 0.0002482165920603),BaylorSCH0SE-WasinkhyahTMP0SE-108
